Date,Open,High,Low,Close,Volume
2012-07-06,30.99,31.73,30.8,30.99,784661
2012-07-09,30.94,31.83,30.67,31.49,910409
2012-07-10,31.54,32.48,30.89,31.27,758352
2012-07-11,31.57,31.68,31.01,31.51,638516
2012-07-12,31.29,33.01,30.8,32.7,1125670
2012-07-13,32.97,34.4,32.83,34.25,1304912
2012-07-16,34.32,36.0,33.9,35.96,1743908
2012-07-17,35.0,35.21,32.38,33.35,2569463
2012-07-18,31.42,33.67,31.06,32.15,2882084
2012-07-19,32.72,33.15,32.04,32.27,1435878
2012-07-20,32.07,32.25,31.25,31.79,1568466
2012-07-23,31.05,31.3,30.62,30.66,1386743
2012-07-24,30.66,31.04,29.62,29.84,1500676
2012-07-25,29.92,29.98,28.75,28.95,2844065
2012-07-26,29.9,30.0,27.64,28.13,2263005
2012-07-27,28.71,29.66,28.1,29.51,1672968
2012-07-30,29.51,30.25,27.21,27.35,2066040
2012-07-31,27.54,27.97,27.35,27.42,1575060
2012-08-01,27.99,27.99,26.03,26.25,1592217
2012-08-02,26.84,26.85,25.52,26.1,1305016
2012-08-03,26.9,27.55,26.74,27.27,1209470
2012-08-06,27.55,28.7,27.55,28.27,1528169
2012-08-07,28.77,30.9,28.5,30.25,2387304
2012-08-08,29.9,30.0,28.59,29.09,1308895
2012-08-09,29.52,30.0,29.13,29.41,672584
2012-08-10,29.31,29.94,29.31,29.94,707390
2012-08-13,29.69,31.3,29.1,31.17,870050
2012-08-14,30.75,31.17,29.26,29.42,793336
2012-08-15,29.39,29.7,28.81,29.4,525385
2012-08-16,29.53,30.39,29.5,30.3,668973
2012-08-17,30.29,30.71,29.98,30.01,508122
2012-08-20,30.15,30.39,29.1,29.51,1179008
2012-08-21,29.58,30.0,29.0,29.11,761516
2012-08-22,29.01,30.04,29.01,29.95,775490
2012-08-23,30.0,30.85,29.65,30.73,1470974
2012-08-24,30.06,30.24,29.41,29.5,1430011
2012-08-27,29.57,29.7,28.17,28.32,1350325
2012-08-28,28.4,29.38,28.0,28.69,1402656
2012-08-29,28.49,28.64,28.02,28.41,838883
2012-08-30,28.6,28.74,28.1,28.41,656307
2012-08-31,28.61,28.84,28.2,28.52,539736
2012-09-04,28.52,28.99,27.9,28.14,752496
2012-09-05,28.01,28.5,27.81,27.94,639227
2012-09-06,28.0,28.9,27.9,28.55,841643
2012-09-07,28.55,29.57,28.5,29.35,953151
2012-09-10,29.2,29.35,27.3,27.37,1484015
2012-09-11,27.76,28.16,27.4,27.8,1014871
2012-09-12,27.9,28.58,27.8,28.28,1145334
2012-09-13,28.57,29.5,28.48,29.48,1486359
2012-09-14,30.0,30.65,29.65,30.39,1536669
2012-09-17,32.35,32.78,31.51,32.54,3212991
2012-09-18,31.88,31.9,30.68,31.34,1788480
2012-09-19,31.0,31.74,30.94,31.05,1048457
2012-09-20,30.93,31.5,30.68,30.9,912372
2012-09-21,31.1,31.49,29.54,30.02,1870170
2012-09-24,29.51,31.03,29.4,30.66,1302004
2012-09-25,28.62,29.48,27.53,27.66,5684952
2012-09-26,27.66,28.4,27.48,27.54,1527320
2012-09-27,27.82,28.54,27.6,28.49,1758553
2012-09-28,28.73,29.89,28.61,29.28,4343338
2012-10-01,29.5,29.89,29.0,29.16,884305
2012-10-02,29.28,29.89,29.0,29.8,728969
2012-10-03,29.75,29.95,29.24,29.3,1055288
2012-10-04,30.0,30.1,28.65,29.4,1541207
2012-10-05,29.7,29.81,28.68,28.89,938670
2012-10-08,28.86,29.4,28.61,29.25,890006
2012-10-09,29.12,29.12,28.25,28.37,1193479
2012-10-10,28.39,28.72,28.01,28.4,505063
2012-10-11,28.94,28.98,28.25,28.32,450571
2012-10-12,28.32,28.73,27.5,27.64,987535
2012-10-15,28.02,28.05,26.86,27.33,1469167
2012-10-16,27.67,28.09,27.34,28.06,479248
2012-10-17,28.25,28.84,27.8,28.82,667963
2012-10-18,28.99,28.99,27.78,28.04,740947
2012-10-19,27.83,28.2,27.3,27.74,1027302
2012-10-22,27.99,28.0,27.36,27.85,470198
2012-10-23,27.38,28.56,27.37,28.39,749273
2012-10-24,28.52,28.52,27.25,27.42,1016368
2012-10-25,27.8,27.8,27.45,27.52,577686
2012-10-26,27.53,27.8,27.02,27.38,477305
2012-10-31,27.7,28.35,27.37,28.13,775142
2012-11-01,28.25,29.49,28.2,29.25,1024054
2012-11-02,29.27,29.55,28.55,28.92,1030265
2012-11-05,29.8,31.58,29.33,31.5,2049118
2012-11-06,30.61,31.2,29.95,31.15,2323943
2012-11-07,31.0,32.05,30.81,31.54,1715417
2012-11-08,31.01,31.88,30.94,31.31,1273986
2012-11-09,30.6,30.93,29.85,30.32,863028
2012-11-12,30.29,31.42,30.16,31.07,557651
2012-11-13,31.29,32.0,30.72,31.61,998263
2012-11-14,31.96,32.12,31.2,31.38,871315
2012-11-15,31.3,31.44,30.5,30.82,983941
2012-11-16,31.15,32.0,30.59,31.84,908650
2012-11-19,32.07,33.25,31.84,32.92,1392548
2012-11-20,32.8,33.1,31.91,33.0,922427
2012-11-21,32.61,33.47,32.29,32.47,963133
2012-11-23,32.6,32.83,31.7,32.13,430212
2012-11-26,32.1,32.3,31.62,32.27,496219
2012-11-27,32.13,32.66,31.52,32.15,910770
2012-11-28,32.0,34.29,31.91,33.23,1525299
2012-11-29,33.44,34.0,32.87,33.69,1103315
2012-11-30,33.63,34.28,33.01,33.82,1420284
2012-12-03,33.89,35.0,33.5,34.62,2085753
2012-12-04,34.08,34.8,33.55,33.9,1264211
2012-12-05,33.82,34.19,33.58,33.71,661486
2012-12-06,33.82,34.8,33.5,33.9,660397
2012-12-07,34.3,34.49,33.85,34.17,664586
2012-12-10,34.43,34.8,34.18,34.57,929751
2012-12-11,34.6,35.5,34.46,35.28,1572591
2012-12-12,35.21,35.8,34.95,35.26,2063877
2012-12-13,35.26,35.3,32.75,33.61,2151224
2012-12-14,33.78,34.4,33.59,33.81,1022943
2012-12-17,33.77,34.5,33.75,34.4,824809
2012-12-18,34.26,35.07,34.26,34.59,1554436
2012-12-19,34.75,35.26,34.52,34.61,1298731
2012-12-20,34.51,34.79,34.05,34.43,921194
2012-12-21,33.94,34.17,33.58,34.0,1492306
2012-12-24,33.64,34.35,33.55,34.28,375796
2012-12-26,33.96,34.5,33.5,33.59,601784
2012-12-27,33.5,33.91,33.0,33.69,561085
2012-12-28,33.38,33.65,33.02,33.22,414135
2012-12-31,33.0,33.97,33.0,33.87,594846
2013-01-02,35.0,35.45,34.7,35.36,1194710
2013-01-03,35.18,35.45,34.75,34.77,741941
2013-01-04,34.8,34.8,33.92,34.4,673993
2013-01-07,34.8,34.8,33.9,34.34,441909
2013-01-08,34.5,34.5,33.11,33.68,1283985
2013-01-09,34.01,34.19,33.4,33.64,697979
2013-01-10,33.87,33.99,33.38,33.53,922405
2013-01-11,34.04,34.04,32.11,32.91,1563274
2013-01-14,33.08,33.38,32.85,33.26,925018
2013-01-15,33.11,34.25,33.08,33.9,1624389
2013-01-16,33.85,34.23,33.73,34.1,1378138
2013-01-17,34.16,34.85,33.92,34.38,1436604
2013-01-18,34.74,34.78,33.82,34.52,3555074
2013-01-22,34.56,35.55,34.26,35.19,1920131
2013-01-23,35.02,36.24,34.96,36.0,1564206
2013-01-24,36.0,37.72,35.84,36.99,1970389
2013-01-25,37.0,37.54,36.8,36.98,1287703
2013-01-28,36.86,38.71,36.86,38.03,1985992
2013-01-29,38.1,38.44,37.13,37.95,1426503
2013-01-30,37.85,38.0,37.43,37.52,968098
2013-01-31,37.87,37.87,36.93,37.51,901318
2013-02-01,38.17,38.5,37.62,38.3,1100590
2013-02-04,38.4,38.42,37.59,37.74,1127989
2013-02-05,38.0,38.65,37.68,38.13,1310192
2013-02-06,38.18,39.39,37.9,39.17,1893148
2013-02-07,39.19,39.68,38.95,39.48,1197521
2013-02-08,39.45,40.0,39.14,39.24,1139733
2013-02-11,37.98,39.15,37.5,38.42,3266248
2013-02-12,38.45,38.87,37.29,37.89,2261246
2013-02-13,38.3,39.0,38.05,38.45,967102
2013-02-14,38.64,38.75,38.21,38.3,990640
2013-02-15,38.5,38.51,36.95,37.04,2018269
2013-02-19,37.36,39.29,37.31,39.28,2701340
2013-02-20,39.3,39.65,38.46,38.54,3121910
2013-02-21,36.49,37.39,34.54,35.16,9038212
2013-02-22,35.72,36.39,35.6,36.11,2547831
2013-02-25,36.15,36.75,34.34,34.38,2890772
2013-02-26,34.46,34.96,33.8,34.43,2763050
2013-02-27,34.41,35.41,34.4,35.1,1959129
2013-02-28,35.89,36.1,34.37,34.83,1964893
2013-03-01,35.0,35.08,34.25,34.65,1546600
2013-03-04,34.77,35.83,34.7,35.58,1757660
2013-03-05,36.0,36.92,35.79,36.65,2086969
2013-03-06,37.01,37.88,36.97,37.69,1149925
2013-03-07,37.73,38.65,36.88,38.23,1158354
2013-03-08,38.06,39.44,37.36,38.47,912052
2013-03-11,38.87,39.44,38.65,39.1,1579440
2013-03-12,38.9,39.38,38.85,39.12,1275062
2013-03-13,39.0,39.49,38.81,38.98,821986
2013-03-14,38.9,38.91,36.77,36.85,2024459
2013-03-15,36.64,36.65,35.21,35.29,3279777
2013-03-18,35.3,36.06,34.92,35.15,1316336
2013-03-19,35.25,35.6,34.94,35.08,1098475
2013-03-20,35.26,36.07,35.16,35.95,1423684
2013-03-21,35.95,37.06,35.74,36.01,1146287
2013-03-22,36.2,36.8,36.2,36.62,446235
2013-03-25,37.1,38.52,36.77,37.53,2379354
2013-03-26,37.98,38.22,37.66,37.86,1808137
2013-03-27,37.94,38.38,37.31,38.16,1296283
2013-03-28,38.23,38.24,37.75,37.89,1158652
2013-04-01,42.36,46.68,41.7,43.93,14105873
2013-04-02,43.6,45.5,43.51,44.34,6652374
2013-04-03,43.1,43.47,40.21,41.1,5644995
2013-04-04,41.11,42.25,40.81,42.01,2264867
2013-04-05,42.0,42.0,40.5,41.37,1552389
2013-04-08,41.97,42.55,41.51,41.83,1679001
2013-04-09,41.8,41.83,40.33,40.5,1696036
2013-04-10,40.7,42.01,40.61,41.86,2121088
2013-04-11,42.06,44.55,41.75,43.59,3448081
2013-04-12,43.25,45.14,43.05,43.75,3149372
2013-04-15,43.5,43.8,42.51,43.3,1685984
2013-04-16,44.19,46.14,43.91,45.59,3180438
2013-04-17,45.5,45.95,44.54,45.45,2118428
2013-04-18,45.98,47.6,45.39,46.97,3368700
2013-04-19,47.46,49.88,47.07,47.83,3012136
2013-04-22,48.6,50.2,47.75,50.19,3939327
2013-04-23,51.0,52.92,50.66,51.01,3737550
2013-04-24,50.9,51.05,48.98,50.43,2630108
2013-04-25,50.5,52.4,50.5,52.0,2796207
2013-04-26,53.13,53.74,50.62,51.2,3622430
2013-04-29,51.76,54.99,51.2,54.94,3642206
2013-04-30,56.0,58.18,53.76,53.99,5523948
2013-05-01,55.99,55.99,53.0,53.28,2742778
2013-05-02,53.85,55.27,53.7,54.11,3052333
2013-05-03,56.47,56.47,54.5,54.55,3379403
2013-05-06,56.39,59.66,55.5,59.5,4372799
2013-05-07,62.0,62.37,55.12,55.51,9994549
2013-05-08,57.5,58.2,55.71,55.79,6769859
2013-05-09,70.12,75.77,63.69,69.4,28604970
2013-05-10,69.65,81.0,69.25,76.76,25086430
2013-05-13,80.99,88.0,79.15,87.8,22416815
2013-05-14,94.22,97.12,81.15,83.24,37163898
2013-05-15,81.8,86.88,78.11,84.84,16878700
2013-05-16,94.7,95.0,88.66,92.25,21614002
2013-05-17,92.5,94.44,87.5,91.5,19008450
2013-05-20,91.12,92.5,88.63,89.94,8348331
2013-05-21,88.5,89.99,85.28,87.59,9001763
2013-05-22,86.37,90.96,85.5,87.24,8573776
2013-05-23,84.8,93.01,83.05,92.73,12044257
2013-05-24,92.6,97.95,92.0,97.08,16124194
2013-05-28,101.55,110.75,100.3,110.33,19691824
2013-05-29,113.55,114.9,99.0,104.63,25099480
2013-05-30,102.46,109.54,101.2,104.95,16140554
2013-05-31,106.26,106.44,97.73,97.76,15171929
2013-06-03,93.51,97.62,88.25,92.59,19143475
2013-06-04,92.75,96.42,92.4,94.84,8856045
2013-06-05,93.66,97.97,89.11,95.37,12224731
2013-06-06,95.25,99.27,95.11,97.35,9514406
2013-06-07,98.0,102.9,96.7,102.04,10717217
2013-06-10,98.93,102.52,98.57,100.05,9234215
2013-06-11,98.18,98.68,94.05,94.47,7385845
2013-06-12,96.8,100.48,95.75,97.73,9197523
2013-06-13,99.0,99.28,95.12,98.18,5965124
2013-06-14,100.0,102.52,99.33,100.3,6554483
2013-06-17,103.6,104.75,101.2,102.2,7075640
2013-06-18,101.75,103.98,99.2,103.39,8803563
2013-06-19,102.06,106.67,102.01,104.68,8588734
2013-06-20,104.65,107.13,99.45,100.65,10111221
2013-06-21,103.7,103.7,97.5,99.55,11714123
2013-06-24,96.5,102.87,95.3,101.49,7127020
2013-06-25,103.1,104.2,100.55,102.4,5850832
2013-06-26,103.8,105.87,102.66,105.72,6610159
2013-06-27,106.75,110.25,106.13,109.25,8750826
2013-06-28,108.57,109.44,106.71,107.36,5750431
2013-07-01,109.36,117.77,109.15,117.18,10903601
2013-07-02,118.26,121.89,115.5,117.82,12070315
2013-07-03,118.0,119.25,114.27,115.24,4806662
2013-07-05,118.32,120.28,115.7,120.09,6827497
2013-07-08,121.37,122.18,118.82,121.61,7820816
2013-07-09,124.64,125.32,121.91,123.45,8603207
2013-07-10,123.19,123.25,120.79,122.27,5600012
2013-07-11,124.88,126.09,122.35,125.61,7486958
2013-07-12,125.5,129.94,124.51,129.9,11349186
2013-07-15,133.03,133.26,126.82,127.26,9924336
2013-07-16,126.28,126.32,107.3,109.05,32371868
2013-07-17,106.52,121.62,104.5,120.25,26028947
2013-07-18,120.97,122.73,116.18,119.03,11407358
2013-07-19,118.5,120.55,116.51,119.68,5891439
2013-07-22,119.89,126.68,119.88,122.43,9804810
2013-07-23,124.0,125.56,121.82,122.74,7740469
2013-07-24,124.47,124.5,119.56,121.7,6871372
2013-07-25,120.4,124.75,120.19,124.07,5287144
2013-07-26,128.14,130.68,126.61,129.39,9640703
2013-07-29,129.32,135.37,128.25,134.62,9686072
2013-07-30,134.8,137.49,128.18,131.74,13130267
2013-07-31,132.57,134.98,131.45,134.28,6351637
2013-08-01,135.0,136.52,132.63,135.55,5323599
2013-08-02,134.59,138.25,133.61,138.0,6269838
2013-08-05,140.01,144.89,139.65,144.68,10200629
2013-08-06,144.75,145.73,141.1,142.15,9261092
2013-08-07,141.89,141.95,132.36,134.23,18212138
2013-08-08,154.36,158.88,150.46,153.48,27246763
2013-08-09,152.4,155.95,151.25,153.0,8936029
2013-08-12,149.43,150.5,142.05,147.38,14912175
2013-08-13,149.5,149.84,144.45,145.43,8748863
2013-08-14,142.72,144.84,138.05,139.36,11693743
2013-08-15,136.43,143.6,135.0,139.67,10188877
2013-08-16,141.63,143.91,140.97,142.0,7108086
2013-08-19,143.43,147.38,142.83,144.9,8037640
2013-08-20,148.65,149.78,147.0,149.58,6418108
2013-08-21,150.0,150.31,146.25,147.86,6266262
2013-08-22,149.22,157.48,148.14,157.1,10592391
2013-08-23,157.0,162.3,155.0,161.84,12931842
2013-08-26,165.15,173.0,160.25,164.22,24171096
2013-08-27,162.3,168.8,160.95,167.01,17566816
2013-08-28,169.06,171.5,163.25,166.45,14740006
2013-08-29,164.22,167.75,162.51,166.06,9445720
2013-08-30,166.37,169.21,163.96,169.0,11028358
2013-09-03,173.4,173.7,166.4,168.94,12061100
2013-09-04,169.77,171.62,165.56,170.62,11475647
2013-09-05,170.1,171.5,168.25,169.93,6693202
2013-09-06,168.57,169.7,165.15,166.97,8619630
2013-09-09,163.12,164.5,158.51,160.7,14344473
2013-09-10,161.45,167.5,160.63,166.37,8967786
2013-09-11,166.41,167.9,162.13,163.52,5811072
2013-09-12,164.0,166.76,160.51,164.93,6159993
2013-09-13,162.77,166.37,162.16,165.54,5409888
2013-09-16,168.0,170.85,165.85,166.58,7592598
2013-09-17,165.08,168.42,163.36,166.23,5500719
2013-09-18,167.07,167.45,164.2,166.22,5439615
2013-09-19,170.8,180.47,169.08,177.92,15594568
2013-09-20,178.9,185.83,178.56,183.39,13401689
2013-09-23,184.48,185.48,177.11,181.11,8191841
2013-09-24,179.14,184.96,177.65,182.33,6282431
2013-09-25,183.56,186.3,180.5,185.24,8252621
2013-09-26,186.7,189.68,185.61,188.64,6621592
2013-09-27,187.52,191.28,186.43,190.9,5923881
2013-09-30,189.0,194.5,188.0,193.37,8934541
2013-10-01,193.96,194.23,188.37,193.0,7761429
2013-10-02,188.59,191.83,175.4,180.95,20775410
2013-10-03,175.04,179.69,168.0,173.31,23816504
2013-10-04,176.4,181.18,172.65,180.98,14413965
2013-10-07,182.46,186.73,180.26,183.07,11485579
2013-10-08,184.4,185.93,173.21,174.73,13757218
2013-10-09,174.73,174.99,161.5,168.78,15316481
2013-10-10,173.09,175.75,169.69,172.93,8883910
2013-10-11,172.75,179.29,171.2,178.7,8311086
2013-10-14,175.0,182.5,174.15,179.72,7769630
2013-10-15,185.28,188.79,183.18,183.94,10978536
2013-10-16,184.9,187.3,182.09,183.56,8205367
2013-10-17,183.54,184.8,180.99,182.8,6704968
2013-10-18,184.15,185.96,182.52,183.4,5930815
2013-10-21,183.28,183.39,171.0,172.6,11532131
2013-10-22,170.5,177.78,166.11,171.54,11394675
2013-10-23,168.91,171.81,160.15,164.5,13327739
2013-10-24,165.0,174.5,162.83,173.15,10825667
2013-10-25,174.21,174.5,166.8,169.66,7595458
2013-10-28,170.18,170.5,162.2,162.86,7841727
2013-10-29,162.76,165.45,153.0,164.47,14111737
2013-10-30,164.63,167.68,158.17,159.22,8401756
2013-10-31,155.67,162.44,153.3,159.94,9340455
2013-11-01,163.0,165.9,160.41,162.17,7180583
2013-11-04,165.0,175.39,164.22,175.2,13120374
2013-11-05,180.0,181.43,171.36,176.81,22467101
2013-11-06,154.81,160.73,146.36,151.16,31071726
2013-11-07,144.19,145.65,137.62,139.77,22284744
2013-11-08,136.48,140.6,132.32,137.95,22477861
2013-11-11,141.0,145.42,137.1,144.7,13997591
2013-11-12,144.69,144.7,136.18,137.8,14985162
2013-11-13,140.84,142.37,136.34,138.7,12658272
2013-11-14,138.92,140.4,134.11,137.6,12203700
2013-11-15,136.85,137.95,134.35,135.45,9900176
2013-11-18,135.27,135.45,119.61,121.58,23138242
2013-11-19,119.43,129.0,119.22,126.09,19816154
2013-11-20,126.08,127.45,119.06,121.11,13849554
2013-11-21,122.89,124.79,120.25,122.1,11903803
2013-11-22,121.58,122.75,117.93,121.38,11104146
2013-11-25,124.5,125.84,120.3,120.84,10275348
2013-11-26,119.38,122.72,116.1,120.5,13885522
2013-11-27,121.31,126.95,119.52,126.94,12367634
2013-11-29,129.77,130.59,126.98,127.28,9716219
2013-12-02,126.35,128.55,123.93,124.17,7751211
2013-12-03,132.68,144.94,131.59,144.7,25682404
2013-12-04,144.32,144.43,137.13,138.95,13147688
2013-12-05,140.15,143.35,139.5,140.48,9288415
2013-12-06,141.51,142.49,136.3,137.36,7909596
2013-12-09,137.01,141.7,134.21,141.6,9061485
2013-12-10,139.96,145.87,139.86,142.19,10748234
2013-12-11,141.89,143.05,139.49,139.65,7137842
2013-12-12,139.81,148.24,138.53,147.47,10767791
2013-12-13,148.37,151.8,147.32,147.65,10599775
2013-12-16,148.57,150.43,146.1,147.94,6675276
2013-12-17,146.93,154.63,146.32,152.46,10494969
2013-12-18,152.28,154.9,145.95,147.98,11581897
2013-12-19,146.91,147.0,139.1,140.72,12758613
2013-12-20,141.88,144.35,141.58,143.24,7422537
2013-12-23,144.85,146.24,142.6,143.55,5385506
2013-12-24,150.0,154.97,149.82,151.41,9941485
2013-12-26,155.04,158.0,154.29,155.5,7129526
2013-12-27,155.3,155.5,150.8,151.12,5469064
2013-12-30,151.12,154.81,150.75,152.44,4472076
2013-12-31,152.32,153.2,148.66,150.43,4266710
2014-01-02,149.8,152.48,146.55,150.1,6195355
2014-01-03,150.0,152.19,148.6,149.56,4698839
2014-01-06,150.0,150.4,145.24,147.0,5367320
2014-01-07,147.62,150.4,145.25,149.36,5041806
2014-01-08,148.85,153.7,148.76,151.28,6166674
2014-01-09,152.5,153.43,146.85,147.53,5388905
2014-01-10,148.46,148.9,142.25,145.72,7450531
2014-01-13,145.78,147.0,137.82,139.34,6324647
2014-01-14,140.5,162.0,136.67,161.27,27935828
2014-01-15,168.45,172.23,162.1,164.13,20488981
2014-01-16,162.5,172.7,162.4,170.97,11982099
2014-01-17,170.19,173.2,167.95,170.01,9216028
2014-01-21,171.24,177.29,170.81,176.68,9745765
2014-01-22,177.81,180.32,174.76,178.56,7036758
2014-01-23,177.23,182.38,173.42,181.5,7899515
2014-01-24,177.85,180.48,173.53,174.6,7711296
2014-01-27,175.16,177.92,164.71,169.62,8737773
2014-01-28,171.5,178.98,171.0,178.38,6128237
2014-01-29,175.3,179.09,173.13,175.23,5956817
2014-01-30,178.0,184.78,177.01,182.84,8575210
